Position,Driver,Constructor,Points,Wins
1,Nigel Mansell,Williams,20,2
2,Riccardo Patrese,Williams,12,0
3,Michael Schumacher,Benetton,7,0
4,Gerhard Berger,McLaren,5,0
5,Ayrton Senna,McLaren,4,0
6,Andrea de Cesaris,Tyrrell,2,0
7,Johnny Herbert,Team Lotus,1,0
8,Mika Häkkinen,Team Lotus,1,0
9,Érik Comas,Ligier,0,0
10,Jyrki Järvilehto,Dallara,0,0
11,Aguri Suzuki,Footwork,0,0
12,Michele Alboreto,Footwork,0,0
13,Thierry Boutsen,Ligier,0,0
14,Bertrand Gachot,Larrousse,0,0
15,Maurício Gugelmin,Jordan,0,0
16,Ukyo Katayama,Larrousse,0,0
17,Eric van de Poele,Brabham,0,0
