round,raceName,date,time,circuit,country
1,South African Grand Prix,1982-01-23,,Kyalami,South Africa
2,Brazilian Grand Prix,1982-03-21,,Autódromo Internacional Nelson Piquet,Brazil
3,United States Grand Prix West,1982-04-04,,Long Beach,USA
4,San Marino Grand Prix,1982-04-25,,Autodromo Enzo e Dino Ferrari,Italy
5,Belgian Grand Prix,1982-05-09,,Zolder,Belgium
6,Monaco Grand Prix,1982-05-23,,Circuit de Monaco,Monaco
7,Detroit Grand Prix,1982-06-06,,Detroit Street Circuit,USA
8,Canadian Grand Prix,1982-06-13,,Circuit Gilles Villeneuve,Canada
9,Dutch Grand Prix,1982-07-03,,Circuit Park Zandvoort,Netherlands
10,British Grand Prix,1982-07-18,,Brands Hatch,UK
11,French Grand Prix,1982-07-25,,Circuit Paul Ricard,France
12,German Grand Prix,1982-08-08,,Hockenheimring,Germany
13,Austrian Grand Prix,1982-08-15,,Red Bull Ring,Austria
14,Swiss Grand Prix,1982-08-29,,Dijon-Prenois,France
15,Italian Grand Prix,1982-09-12,,Autodromo Nazionale di Monza,Italy
16,Caesars Palace Grand Prix,1982-09-25,,Las Vegas Street Circuit,USA
