position,number,driver,constructor,Q1,Q2,Q3
1,6,Nico Rosberg,Mercedes,1:41.111,1:40.979,1:40.237
2,44,Lewis Hamilton,Mercedes,1:40.974,1:40.758,1:40.614
3,7,Kimi Räikkönen,Ferrari,1:42.500,1:41.612,1:41.051
4,11,Sergio Pérez,Force India,1:41.983,1:41.560,1:41.184
5,3,Daniel Ricciardo,Red Bull,1:42.275,1:41.830,1:41.444
6,77,Valtteri Bottas,Williams,1:42.608,1:41.868,1:41.656
7,27,Nico Hülkenberg,Force India,1:41.996,1:41.925,1:41.686
8,19,Felipe Massa,Williams,1:42.303,1:42.349,1:41.759
9,26,Daniil Kvyat,Red Bull,1:42.540,1:42.328,1:41.933
10,55,Carlos Sainz,Toro Rosso,1:42.911,1:42.482,1:42.708
11,33,Max Verstappen,Toro Rosso,1:42.889,1:42.521,
12,22,Jenson Button,McLaren,1:42.570,1:42.668,
13,13,Pastor Maldonado,Lotus F1,1:42.929,1:42.807,
14,12,Felipe Nasr,Sauber,1:42.896,1:43.614,
15,8,Romain Grosjean,Lotus F1,1:42.585,,
16,5,Sebastian Vettel,Ferrari,1:42.941,,
17,14,Fernando Alonso,McLaren,1:43.187,,
18,9,Marcus Ericsson,Sauber,1:43.838,,
19,28,Will Stevens,Manor Marussia,1:46.297,,
20,98,Roberto Merhi,Manor Marussia,1:47.434,,
