Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,381,10
2,Nico Rosberg,Mercedes,322,6
3,Sebastian Vettel,Ferrari,278,3
4,Kimi Räikkönen,Ferrari,150,0
5,Valtteri Bottas,Williams,136,0
6,Felipe Massa,Williams,121,0
7,Daniil Kvyat,Red Bull,95,0
8,Daniel Ricciardo,Red Bull,92,0
9,Sergio Pérez,Force India,78,0
10,Nico Hülkenberg,Force India,58,0
11,Romain Grosjean,Lotus F1,51,0
12,Max Verstappen,Toro Rosso,49,0
13,Felipe Nasr,Sauber,27,0
14,Pastor Maldonado,Lotus F1,27,0
15,Carlos Sainz,Toro Rosso,18,0
16,Jenson Button,McLaren,16,0
17,Fernando Alonso,McLaren,11,0
18,Marcus Ericsson,Sauber,9,0
19,Roberto Merhi,Manor Marussia,0,0
20,Alexander Rossi,Manor Marussia,0,0
21,Will Stevens,Manor Marussia,0,0
22,Kevin Magnussen,McLaren,0,0
