position,number,driver,constructor,laps,grid,status,points
1,1,Sebastian Vettel,Red Bull,56,1,Finished,25
2,2,Mark Webber,Red Bull,56,5,Finished,18
3,10,Lewis Hamilton,Mercedes,56,4,Finished,15
4,9,Nico Rosberg,Mercedes,56,6,Finished,12
5,4,Felipe Massa,Ferrari,56,2,Finished,10
6,8,Romain Grosjean,Lotus F1,56,11,Finished,8
7,7,Kimi Räikkönen,Lotus F1,56,10,Finished,6
8,11,Nico Hülkenberg,Sauber,56,12,Finished,4
9,6,Sergio Pérez,McLaren,56,9,Finished,2
10,18,Jean-Éric Vergne,Toro Rosso,56,17,Finished,1
11,17,Valtteri Bottas,Williams,56,18,Finished,0
12,12,Esteban Gutiérrez,Sauber,55,14,+1 Lap,0
13,22,Jules Bianchi,Marussia,55,19,+1 Lap,0
14,20,Charles Pic,Caterham,55,20,+1 Lap,0
15,21,Giedo van der Garde,Caterham,55,22,+1 Lap,0
16,23,Max Chilton,Marussia,54,21,+2 Laps,0
17,5,Jenson Button,McLaren,53,7,Withdrew,0
18,19,Daniel Ricciardo,Toro Rosso,51,13,Retired,0
19,16,Pastor Maldonado,Williams,45,16,Retired,0
20,15,Adrian Sutil,Force India,27,8,Wheel nut,0
21,14,Paul di Resta,Force India,22,15,Wheel nut,0
22,3,Fernando Alonso,Ferrari,1,3,Collision,0
