Position,Driver,Constructor,Points,Wins
1,Nico Rosberg,Mercedes,385,9
2,Lewis Hamilton,Mercedes,380,10
3,Daniel Ricciardo,Red Bull,256,1
4,Sebastian Vettel,Ferrari,212,0
5,Max Verstappen,Toro Rosso,204,1
6,Kimi Räikkönen,Ferrari,186,0
7,Sergio Pérez,Force India,101,0
8,Valtteri Bottas,Williams,85,0
9,Nico Hülkenberg,Force India,72,0
10,Fernando Alonso,McLaren,54,0
11,Felipe Massa,Williams,53,0
12,Carlos Sainz,Toro Rosso,46,0
13,Romain Grosjean,Haas F1 Team,29,0
14,Daniil Kvyat,Red Bull,25,0
15,Jenson Button,McLaren,21,0
16,Kevin Magnussen,Renault,7,0
17,Felipe Nasr,Sauber,2,0
18,Jolyon Palmer,Renault,1,0
19,Pascal Wehrlein,Manor Marussia,1,0
20,Stoffel Vandoorne,McLaren,1,0
21,Esteban Gutiérrez,Haas F1 Team,0,0
22,Marcus Ericsson,Sauber,0,0
23,Esteban Ocon,Manor Marussia,0,0
24,Rio Haryanto,Manor Marussia,0,0
