Position,Driver,Constructor,Points,Wins
1,Piero Taruffi,Ferrari,9,1
2,Alberto Ascari,Ferrari,9,1
3,Troy Ruttman,Kuzma,8,1
4,Nino Farina,Ferrari,6,0
5,Rudi Fischer,Ferrari,6,0
6,Jim Rathmann,Kurtis Kraft,6,0
7,Robert Manzon,Gordini,4,0
8,Jean Behra,Gordini,4,0
9,Sam Hanks,Kurtis Kraft,4,0
10,Ken Wharton,Frazer Nash,3,0
11,Duane Carter,Lesovsky,3,0
12,Mike Hawthorn,Cooper,3,0
13,Alan Brown,Cooper,2,0
14,Art Cross,Kurtis Kraft,2,0
15,Paul Frère,HWM,2,0
16,Bill Vukovich,Kurtis Kraft,1,0
17,Jimmy Bryan,Kurtis Kraft,0,0
18,Toulo de Graffenried,Maserati,0,0
19,Charles de Tornaco,Ferrari,0,0
20,Peter Hirt,Ferrari,0,0
21,Jimmy Reece,Kurtis Kraft,0,0
22,Eric Brandon,Cooper,0,0
23,Johnny Claes,Gordini,0,0
24,George Connor,Kurtis Kraft,0,0
25,Cliff Griffith,Kurtis Kraft,0,0
26,Prince Bira,Simca,0,0
27,Johnnie Parsons,Kurtis Kraft,0,0
28,Lance Macklin,HWM,0,0
29,Jack McGrath,Kurtis Kraft,0,0
30,Roger Laurent,HWM,0,0
