Position,Driver,Constructor,Points,Wins
1,Kimi Räikkönen,McLaren,40,1
2,Michael Schumacher,Ferrari,38,3
3,Rubens Barrichello,Ferrari,26,0
4,Fernando Alonso,Renault,25,0
5,David Coulthard,McLaren,23,1
6,Ralf Schumacher,Williams,20,0
7,Juan Pablo Montoya,Williams,15,0
8,Giancarlo Fisichella,Jordan,10,1
9,Jarno Trulli,Renault,10,0
10,Jenson Button,BAR,8,0
11,Heinz-Harald Frentzen,Sauber,7,0
12,Mark Webber,Jaguar,4,0
13,Jacques Villeneuve,BAR,3,0
14,Cristiano da Matta,Toyota,3,0
15,Nick Heidfeld,Sauber,1,0
16,Ralph Firman,Jordan,1,0
17,Antônio Pizzonia,Jaguar,0,0
18,Olivier Panis,Toyota,0,0
19,Jos Verstappen,Minardi,0,0
20,Justin Wilson,Minardi,0,0
