round,raceName,date,time,circuit,country
1,Australian Grand Prix,2001-03-04,,Albert Park Grand Prix Circuit,Australia
2,Malaysian Grand Prix,2001-03-18,,Sepang International Circuit,Malaysia
3,Brazilian Grand Prix,2001-04-01,,Autódromo José Carlos Pace,Brazil
4,San Marino Grand Prix,2001-04-15,,Autodromo Enzo e Dino Ferrari,Italy
5,Spanish Grand Prix,2001-04-29,,Circuit de Barcelona-Catalunya,Spain
6,Austrian Grand Prix,2001-05-13,,Red Bull Ring,Austria
7,Monaco Grand Prix,2001-05-27,,Circuit de Monaco,Monaco
8,Canadian Grand Prix,2001-06-10,,Circuit Gilles Villeneuve,Canada
9,European Grand Prix,2001-06-24,,Nürburgring,Germany
10,French Grand Prix,2001-07-01,,Circuit de Nevers Magny-Cours,France
11,British Grand Prix,2001-07-15,,Silverstone Circuit,UK
12,German Grand Prix,2001-07-29,,Hockenheimring,Germany
13,Hungarian Grand Prix,2001-08-19,,Hungaroring,Hungary
14,Belgian Grand Prix,2001-09-02,,Circuit de Spa-Francorchamps,Belgium
15,Italian Grand Prix,2001-09-16,,Autodromo Nazionale di Monza,Italy
16,United States Grand Prix,2001-09-30,,Indianapolis Motor Speedway,USA
17,Japanese Grand Prix,2001-10-14,,Suzuka Circuit,Japan
