position,number,driver,constructor,laps,grid,status,points
1,6,Dan Gurney,Brabham-Climax,65,2,Finished,9
2,7,John Surtees,Ferrari,65,4,Finished,6
3,8,Lorenzo Bandini,Ferrari,65,3,Finished,4
4,2,Mike Spence,Lotus-Climax,65,5,Finished,3
5,1,Jim Clark,Lotus-Climax,64,1,Engine,2
6,18,Pedro Rodríguez,Ferrari,64,9,+1 Lap,1
7,9,Bruce McLaren,Cooper-Climax,64,10,+1 Lap,0
8,4,Richie Ginther,BRM,64,11,+1 Lap,0
9,10,Phil Hill,Cooper-Climax,63,15,Engine,0
10,17,Moisés Solana,Lotus-Climax,63,14,+2 Laps,0
11,3,Graham Hill,BRM,63,6,+2 Laps,0
12,11,Innes Ireland,BRP,61,16,+4 Laps,0
13,23,Hap Sharp,Brabham-BRM,60,19,+5 Laps,0
14,15,Chris Amon,Lotus-BRM,46,12,Gearbox,0
15,5,Jack Brabham,Brabham-Climax,44,7,Electrical,0
16,14,Mike Hailwood,Lotus-BRM,12,17,Overheating,0
17,22,Jo Siffert,Brabham-BRM,11,13,Fuel pump,0
18,16,Jo Bonnier,Brabham-Climax,9,8,Suspension,0
19,12,Trevor Taylor,BRP,6,18,Overheating,0
