Position,Driver,Constructor,Points,Wins
1,Emerson Fittipaldi,Team Lotus,41,3
2,Jackie Stewart,Tyrrell,39,3
3,François Cevert,Tyrrell,25,0
4,Denny Hulme,McLaren,19,1
5,Peter Revson,McLaren,11,0
6,Ronnie Peterson,Team Lotus,10,0
7,Arturo Merzario,Ferrari,6,0
8,Jacky Ickx,Ferrari,6,0
9,George Follmer,Shadow,5,0
10,Andrea de Adamich,Surtees,3,0
11,Carlos Reutemann,Brabham,3,0
12,Niki Lauda,BRM,2,0
13,Jean-Pierre Beltoise,BRM,2,0
14,Clay Regazzoni,BRM,1,0
15,Wilson Fittipaldi,Brabham,1,0
16,Chris Amon,Tecno,1,0
17,Mike Beuttler,March,0,0
18,Howden Ganley,Iso Marlboro,0,0
19,Carlos Pace,Surtees,0,0
20,Mike Hailwood,Surtees,0,0
21,Henri Pescarolo,March,0,0
22,Nanni Galli,Iso Marlboro,0,0
23,Graham Hill,Shadow,0,0
24,James Hunt,March,0,0
25,Jody Scheckter,McLaren,0,0
26,Jackie Oliver,Shadow,0,0
27,Luiz Bueno,Surtees,0,0
28,Jean-Pierre Jarier,March,0,0
29,Eddie Keizan,Tyrrell,0,0
30,Jackie Pretorius,Iso Marlboro,0,0
