Position,Driver,Constructor,Points,Wins
1,Jochen Rindt,Team Lotus,45,5
2,Jack Brabham,Brabham,25,1
3,Denny Hulme,McLaren-Ford,20,0
4,Jacky Ickx,Ferrari,19,1
5,Jackie Stewart,March,19,1
6,Chris Amon,March,14,0
7,Pedro Rodríguez,BRM,13,1
8,Clay Regazzoni,Ferrari,12,0
9,Jean-Pierre Beltoise,Matra,10,0
10,Rolf Stommelen,Brabham,8,0
11,Henri Pescarolo,Matra,8,0
12,Graham Hill,Team Lotus,7,0
13,Bruce McLaren,McLaren-Ford,6,0
14,Mario Andretti,March,4,0
15,Ignazio Giunti,Ferrari,3,0
16,Emerson Fittipaldi,Team Lotus,3,0
17,John Miles,Team Lotus,2,0
18,Jackie Oliver,BRM,2,0
19,Johnny Servoz-Gavin,March,2,0
20,John Surtees,McLaren-Ford,1,0
21,Dan Gurney,McLaren-Ford,1,0
22,François Cevert,March,0,0
23,Jo Siffert,March,0,0
24,Ronnie Peterson,March,0,0
25,John Love,Team Lotus,0,0
26,Peter Gethin,McLaren-Ford,0,0
27,George Eaton,BRM,0,0
28,Peter de Klerk,Brabham,0,0
29,Andrea de Adamich,McLaren-Alfa Romeo,0,0
30,Dave Charlton,Team Lotus,0,0
