position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:20.511,1:20.210,1:19.149
2,5,Sebastian Vettel,Ferrari,1:20.939,1:20.295,1:19.200
3,77,Valtteri Bottas,Mercedes,1:20.991,1:20.300,1:19.373
4,7,Kimi Räikkönen,Ferrari,1:20.742,1:20.621,1:19.439
5,33,Max Verstappen,Red Bull,1:21.430,1:20.722,1:19.706
6,3,Daniel Ricciardo,Red Bull,1:21.704,1:20.855,1:20.175
7,14,Fernando Alonso,McLaren,1:22.015,1:21.251,1:21.048
8,11,Sergio Pérez,Force India,1:21.998,1:21.239,1:21.070
9,19,Felipe Massa,Williams,1:22.138,1:21.222,1:21.232
10,31,Esteban Ocon,Force India,1:21.901,1:21.148,1:21.272
11,20,Kevin Magnussen,Haas F1 Team,1:21.945,1:21.329,
12,55,Carlos Sainz,Toro Rosso,1:21.941,1:21.371,
13,27,Nico Hülkenberg,Renault,1:22.091,1:21.397,
14,8,Romain Grosjean,Haas F1 Team,1:21.822,1:21.517,
15,94,Pascal Wehrlein,Sauber,1:22.327,1:21.803,
16,9,Marcus Ericsson,Sauber,1:22.332,,
17,30,Jolyon Palmer,Renault,1:22.401,,
18,18,Lance Stroll,Williams,1:22.411,,
19,2,Stoffel Vandoorne,McLaren,1:22.532,,
20,26,Daniil Kvyat,Toro Rosso,1:22.746,,
