Position,Driver,Constructor,Points,Wins
1,Kimi Räikkönen,Lotus F1,25,1
2,Fernando Alonso,Ferrari,18,0
3,Sebastian Vettel,Red Bull,15,0
4,Felipe Massa,Ferrari,12,0
5,Lewis Hamilton,Mercedes,10,0
6,Mark Webber,Red Bull,8,0
7,Adrian Sutil,Force India,6,0
8,Paul di Resta,Force India,4,0
9,Jenson Button,McLaren,2,0
10,Romain Grosjean,Lotus F1,1,0
11,Sergio Pérez,McLaren,0,0
12,Jean-Éric Vergne,Toro Rosso,0,0
13,Esteban Gutiérrez,Sauber,0,0
14,Valtteri Bottas,Williams,0,0
15,Jules Bianchi,Marussia,0,0
16,Charles Pic,Caterham,0,0
17,Max Chilton,Marussia,0,0
18,Giedo van der Garde,Caterham,0,0
19,Daniel Ricciardo,Toro Rosso,0,0
20,Nico Rosberg,Mercedes,0,0
21,Pastor Maldonado,Williams,0,0
22,Nico Hülkenberg,Sauber,0,0
