position,number,driver,constructor,laps,grid,status,points
1,3,Jacky Ickx,Ferrari,65,3,Finished,9
2,4,Clay Regazzoni,Ferrari,65,1,Finished,6
3,8,Denny Hulme,McLaren-Ford,65,14,Finished,4
4,12,Chris Amon,March,65,5,Finished,3
5,6,Jean-Pierre Beltoise,Matra,65,6,Finished,2
6,19,Pedro Rodríguez,BRM,65,7,Finished,1
7,20,Jackie Oliver,BRM,64,13,+1 Lap,0
8,17,John Surtees,Surtees,64,15,+1 Lap,0
9,7,Henri Pescarolo,Matra,61,11,+4 Laps,0
10,23,Reine Wisell,Team Lotus,56,12,Not classified,0
11,15,Jack Brabham,Brabham,52,4,Engine,0
12,1,Jackie Stewart,Tyrrell,33,2,Suspension,0
13,9,Peter Gethin,McLaren-Ford,27,10,Engine,0
14,16,Rolf Stommelen,Brabham,15,17,Fuel system,0
15,2,François Cevert,March,8,9,Engine,0
16,14,Graham Hill,Team Lotus,4,8,Overheating,0
17,11,Jo Siffert,March,3,16,Engine,0
18,24,Emerson Fittipaldi,Team Lotus,1,18,Engine,0
