Position,Driver,Constructor,Points,Wins
1,Mika Häkkinen,McLaren,26,2
2,Michael Schumacher,Ferrari,14,1
3,David Coulthard,McLaren,13,0
4,Eddie Irvine,Ferrari,7,0
5,Heinz-Harald Frentzen,Williams,6,0
6,Alexander Wurz,Benetton,6,0
7,Jacques Villeneuve,Williams,2,0
8,Jean Alesi,Sauber,2,0
9,Giancarlo Fisichella,Benetton,1,0
10,Johnny Herbert,Sauber,1,0
11,Damon Hill,Jordan,0,0
12,Olivier Panis,Prost,0,0
13,Rubens Barrichello,Stewart,0,0
14,Jan Magnussen,Stewart,0,0
15,Jarno Trulli,Prost,0,0
16,Toranosuke Takagi,Tyrrell,0,0
17,Shinji Nakano,Minardi,0,0
18,Ricardo Rosset,Tyrrell,0,0
