Position,Driver,Constructor,Points,Wins
1,Alan Jones,Williams,67,5
2,Nelson Piquet,Brabham,54,3
3,Carlos Reutemann,Williams,42,1
4,Jacques Laffite,Ligier,34,1
5,Didier Pironi,Ligier,32,1
6,René Arnoux,Renault,29,2
7,Elio de Angelis,Team Lotus,13,0
8,Jean-Pierre Jabouille,Renault,9,1
9,Riccardo Patrese,Arrows,7,0
10,Keke Rosberg,Fittipaldi,6,0
11,John Watson,McLaren,6,0
12,Derek Daly,Tyrrell,6,0
13,Jean-Pierre Jarier,Tyrrell,6,0
14,Gilles Villeneuve,Ferrari,6,0
15,Emerson Fittipaldi,Fittipaldi,5,0
16,Alain Prost,McLaren,5,0
17,Jochen Mass,Arrows,4,0
18,Bruno Giacomelli,Alfa Romeo,4,0
19,Jody Scheckter,Ferrari,2,0
20,Mario Andretti,Team Lotus,1,0
21,Hector Rebaque,Brabham,1,0
22,Marc Surer,ATS,0,0
23,Ricardo Zunino,Brabham,0,0
24,Rupert Keegan,Williams,0,0
25,Clay Regazzoni,Ensign,0,0
26,Jan Lammers,ATS,0,0
27,Eddie Cheever,Osella,0,0
28,Geoff Lees,Shadow,0,0
29,Patrick Depailler,Alfa Romeo,0,0
30,Nigel Mansell,Team Lotus,0,0
