position,number,driver,constructor,laps,grid,status,points
1,46,Alberto Ascari,Ferrari,65,2,Finished,9
2,24,Nino Farina,Ferrari,65,3,Finished,6
3,26,Mike Hawthorn,Ferrari,65,7,Finished,4
4,32,Juan Fangio,Maserati,64,1,+1 Lap,1.5
4,32,Felice Bonetto,Maserati,64,1,+1 Lap,1.5
5,34,Hermann Lang,Maserati,62,11,+3 Laps,2
6,28,Luigi Villoresi,Ferrari,62,6,+3 Laps,0
7,20,Ken Wharton,Cooper,62,9,+3 Laps,0
8,40,Max de Terra,Ferrari,51,19,+14 Laps,0
9,18,Albert Scherrer,HWM,49,18,+16 Laps,0
10,4,Chico Landi,Maserati,54,20,Gearbox,0
11,42,Toulo de Graffenried,Maserati,49,8,Transmission,0
12,36,Onofre Marimón,Maserati,46,5,Engine,0
13,8,Maurice Trintignant,Gordini,43,4,Axle,0
14,6,Jean Behra,Gordini,37,12,Oil pressure,0
15,30,Felice Bonetto,Maserati,29,10,Engine,0
15,30,Juan Fangio,Maserati,29,10,Engine,0
16,16,Lance Macklin,HWM,29,15,Engine,0
17,38,Peter Hirt,Ferrari,17,17,Engine,0
18,14,Paul Frère,HWM,1,16,Engine,0
19,2,Jacques Swaters,Ferrari,0,13,Spun off,0
20,10,Louis Rosier,Ferrari,0,14,Spun off,0
