position,number,driver,constructor,Q1,Q2,Q3
1,1,Max Verstappen,Red Bull,1:32.219,1:23.746,1:21.299
2,14,Fernando Alonso,Alpine F1 Team,1:32.277,1:24.848,1:21.944
3,55,Carlos Sainz,Ferrari,1:32.781,1:25.197,1:22.096
4,44,Lewis Hamilton,Mercedes,1:33.841,1:25.543,1:22.891
5,20,Kevin Magnussen,Haas F1 Team,1:32.957,1:26.254,1:22.960
6,47,Mick Schumacher,Haas F1 Team,1:33.707,1:25.684,1:23.356
7,31,Esteban Ocon,Alpine F1 Team,1:33.012,1:26.135,1:23.529
8,63,George Russell,Mercedes,1:33.160,1:24.950,1:23.557
9,3,Daniel Ricciardo,McLaren,1:33.636,1:26.375,1:23.749
10,24,Guanyu Zhou,Alfa Romeo,1:33.692,1:26.116,1:24.030
11,77,Valtteri Bottas,Alfa Romeo,1:33.689,1:26.788,
12,23,Alexander Albon,Williams,1:34.047,1:26.858,
13,11,Sergio Pérez,Red Bull,1:33.929,1:33.127,
14,4,Lando Norris,McLaren,1:34.066,,
15,16,Charles Leclerc,Ferrari,1:33.008,,
16,10,Pierre Gasly,AlphaTauri,1:34.492,,
17,5,Sebastian Vettel,Aston Martin,1:34.512,,
18,18,Lance Stroll,Aston Martin,1:35.532,,
19,6,Nicholas Latifi,Williams,1:35.660,,
20,22,Yuki Tsunoda,AlphaTauri,1:36.575,,
