lap,position,driver,time
11,12,perez,1:30.817
11,13,bottas,1:31.227
11,14,stroll,1:30.931
11,15,kevin_magnussen,1:30.958
11,16,lawson,1:31.106
11,17,ocon,1:53.637
11,18,tsunoda,1:30.652
12,1,max_verstappen,1:29.202
12,2,piastri,1:33.032
12,3,norris,1:29.195
12,4,leclerc,1:33.651
12,5,hulkenberg,1:30.287
12,6,russell,1:29.592
12,7,albon,1:31.693
12,8,sargeant,1:30.698
12,9,zhou,1:30.822
12,10,perez,1:31.085
12,11,bottas,1:31.289
12,12,stroll,1:31.406
12,13,kevin_magnussen,1:32.019
12,14,lawson,1:31.836
12,15,alonso,1:52.578
12,16,ocon,1:29.933
12,17,gasly,1:53.607
12,18,tsunoda,1:29.532
13,1,max_verstappen,1:29.015
13,2,norris,1:32.790
13,3,russell,1:28.742
13,4,albon,1:30.652
13,5,zhou,1:30.606
13,6,hulkenberg,1:36.246
13,7,perez,1:30.534
13,8,bottas,1:31.142
13,9,sargeant,1:34.911
13,10,stroll,1:31.067
13,11,kevin_magnussen,1:31.611
13,12,lawson,1:32.277
13,13,piastri,1:54.427
13,14,alonso,1:30.137
13,15,leclerc,1:53.166
13,16,ocon,1:29.743
13,17,gasly,1:29.180
13,18,tsunoda,1:30.062
14,1,max_verstappen,1:29.123
14,2,russell,1:32.247
14,3,albon,1:29.635
14,4,zhou,1:30.200
14,5,perez,1:30.196
14,6,bottas,1:30.445
14,7,stroll,1:31.379
14,8,kevin_magnussen,1:31.421
14,9,piastri,1:30.272
14,10,lawson,1:31.330
14,11,alonso,1:29.357
14,12,leclerc,1:29.362
14,13,norris,1:52.778
14,14,ocon,1:29.430
14,15,gasly,1:28.973
14,16,tsunoda,1:29.784
14,17,sargeant,1:53.698
14,18,hulkenberg,2:04.996
15,1,max_verstappen,1:28.712
15,2,albon,1:29.407
15,3,perez,1:28.880
15,4,zhou,1:31.165
15,5,bottas,1:30.974
15,6,stroll,1:30.637
15,7,piastri,1:28.677
15,8,kevin_magnussen,1:31.004
15,9,alonso,1:29.892
15,10,lawson,1:31.655
15,11,leclerc,1:30.586
15,12,norris,1:29.171
15,13,ocon,1:29.306
15,14,gasly,1:28.739
15,15,russell,1:52.143
15,16,tsunoda,1:30.160
15,17,sargeant,1:28.999
15,18,hulkenberg,1:29.700
16,1,max_verstappen,1:27.875
16,2,albon,1:29.001
16,3,perez,1:28.533
16,4,zhou,1:29.902
16,5,bottas,1:30.066
16,6,stroll,1:30.060
16,7,piastri,1:29.100
16,8,alonso,1:28.915
16,9,kevin_magnussen,1:31.830
16,10,leclerc,1:30.016
16,11,norris,1:29.847
16,12,lawson,1:31.868
16,13,ocon,1:29.646
16,14,gasly,1:29.441
16,15,russell,1:28.650
16,16,tsunoda,1:29.584
16,17,sargeant,1:29.421
16,18,hulkenberg,1:28.559
17,1,max_verstappen,1:32.205
17,2,albon,1:28.944
17,3,perez,1:32.575
17,4,zhou,1:29.911
17,5,bottas,1:30.262
17,6,piastri,1:29.008
17,7,stroll,1:30.983
17,8,alonso,1:28.923
17,9,leclerc,1:28.778
17,10,norris,1:28.917
17,11,kevin_magnussen,1:31.647
17,12,ocon,1:29.758
17,13,lawson,1:31.459
17,14,gasly,1:30.631
17,15,russell,1:28.961
17,16,tsunoda,1:29.756
17,17,sargeant,1:29.055
