position,number,driver,constructor,Q1,Q2,Q3
1,28,Gerhard Berger,Ferrari,1:43.582,,
2,27,Jean Alesi,Ferrari,1:44.012,,
3,0,Damon Hill,Williams,1:44.026,,
4,5,Michael Schumacher,Benetton,1:44.268,,
5,3,Ukyo Katayama,Tyrrell,1:44.718,,
6,2,David Coulthard,Williams,1:45.146,,
7,4,Mark Blundell,Tyrrell,1:45.474,,
8,7,Mika Häkkinen,McLaren,1:45.487,,
9,30,Heinz-Harald Frentzen,Sauber,1:45.893,,
10,15,Eddie Irvine,Jordan,1:45.911,,
11,14,Rubens Barrichello,Jordan,1:45.939,,
12,26,Olivier Panis,Ligier,1:46.185,,
13,8,Martin Brundle,McLaren,1:46.218,,
14,25,Éric Bernard,Ligier,1:46.290,,
15,12,Johnny Herbert,Team Lotus,1:46.630,,
16,10,Gianni Morbidelli,Footwork,1:46.817,,
17,9,Christian Fittipaldi,Footwork,1:47.102,,
18,29,Andrea de Cesaris,Sauber,1:47.235,,
19,6,Jos Verstappen,Benetton,1:47.316,,
20,23,Pierluigi Martini,Minardi,1:47.402,,
21,11,Alessandro Zanardi,Team Lotus,1:47.425,,
22,20,Érik Comas,Larrousse,1:48.229,,
23,24,Michele Alboreto,Minardi,1:48.295,,
24,19,Olivier Beretta,Larrousse,1:48.681,,
25,31,David Brabham,Simtek,1:48.870,,
26,32,Jean-Marc Gounon,Simtek,1:49.204,,
