position,number,driver,constructor,Q1,Q2,Q3
1,5,Damon Hill,Williams,1:44.385,,
2,1,Michael Schumacher,Benetton,1:44.465,,
3,6,David Coulthard,Williams,1:44.540,,
4,28,Gerhard Berger,Ferrari,1:45.553,,
5,14,Rubens Barrichello,Jordan,1:45.765,,
6,15,Eddie Irvine,Jordan,1:45.846,,
7,8,Mika Häkkinen,McLaren,1:45.849,,
8,7,Mark Blundell,McLaren,1:46.221,,
9,2,Johnny Herbert,Benetton,1:46.315,,
10,27,Jean Alesi,Ferrari,1:46.356,,
11,30,Heinz-Harald Frentzen,Sauber,1:46.801,,
12,26,Olivier Panis,Ligier,1:47.372,,
13,4,Mika Salo,Tyrrell,1:47.507,,
14,29,Jean-Christophe Boullion,Sauber,1:47.636,,
15,9,Massimiliano Papis,Footwork,1:48.093,,
16,24,Luca Badoer,Minardi,1:49.302,,
17,3,Ukyo Katayama,Tyrrell,1:49.402,,
18,25,Aguri Suzuki,Ligier,1:49.716,,
19,10,Taki Inoue,Footwork,1:49.892,,
20,23,Pierluigi Martini,Minardi,1:49.990,,
21,21,Pedro Diniz,Forti,1:52.961,,
22,22,Roberto Moreno,Forti,1:53.405,,
23,17,Andrea Montermini,Pacific,1:53.492,,
24,16,Giovanni Lavaggi,Pacific,1:54.625,,
