position,number,driver,constructor,Q1,Q2,Q3
1,15,Sebastian Vettel,Red Bull,1:36.565,1:35.130,1:36.184
2,7,Fernando Alonso,Renault,1:36.443,1:35.803,1:36.381
3,14,Mark Webber,Red Bull,1:35.751,1:35.173,1:36.466
4,23,Rubens Barrichello,Brawn,1:35.701,1:35.503,1:36.493
5,22,Jenson Button,Brawn,1:35.533,1:35.556,1:36.532
6,9,Jarno Trulli,Toyota,1:36.308,1:35.645,1:36.835
7,16,Nico Rosberg,Williams,1:35.941,1:35.809,1:37.397
8,4,Kimi Räikkönen,Ferrari,1:36.137,1:35.856,1:38.089
9,1,Lewis Hamilton,McLaren,1:35.776,1:35.740,1:38.595
10,12,Sébastien Buemi,Toro Rosso,1:36.284,1:35.965,1:39.321
11,6,Nick Heidfeld,BMW Sauber,1:36.525,1:35.975,
12,2,Heikki Kovalainen,McLaren,1:36.646,1:36.032,
13,3,Felipe Massa,Ferrari,1:36.178,1:36.033,
14,10,Timo Glock,Toyota,1:36.364,1:36.066,
15,17,Kazuki Nakajima,Williams,1:36.673,1:36.193,
16,11,Sébastien Bourdais,Toro Rosso,1:36.906,,
17,8,Nelson Piquet Jr.,Renault,1:36.908,,
18,5,Robert Kubica,BMW Sauber,1:36.966,,
19,20,Adrian Sutil,Force India,1:37.669,,
20,11,Giancarlo Fisichella,Force India,1:37.672,,
