position,number,driver,constructor,laps,grid,status,points
1,15,Sebastian Vettel,Red Bull,56,1,Finished,10
2,14,Mark Webber,Red Bull,56,3,Finished,8
3,22,Jenson Button,Brawn,56,5,Finished,6
4,23,Rubens Barrichello,Brawn,56,4,Finished,5
5,2,Heikki Kovalainen,McLaren,56,12,Finished,4
6,1,Lewis Hamilton,McLaren,56,9,Finished,3
7,10,Timo Glock,Toyota,56,19,Finished,2
8,12,Sébastien Buemi,Toro Rosso,56,10,Finished,1
9,7,Fernando Alonso,Renault,56,2,Finished,0
10,4,Kimi Räikkönen,Ferrari,56,8,Finished,0
11,11,Sébastien Bourdais,Toro Rosso,56,15,Finished,0
12,6,Nick Heidfeld,BMW Sauber,56,11,Finished,0
13,5,Robert Kubica,BMW Sauber,56,17,Finished,0
14,21,Giancarlo Fisichella,Force India,55,20,+1 Lap,0
15,16,Nico Rosberg,Williams,55,7,+1 Lap,0
16,8,Nelson Piquet Jr.,Renault,54,16,+2 Laps,0
17,20,Adrian Sutil,Force India,50,18,Spun off,0
18,17,Kazuki Nakajima,Williams,43,14,Retired,0
19,3,Felipe Massa,Ferrari,20,13,Electronics,0
20,9,Jarno Trulli,Toyota,18,6,Collision,0
