position,number,driver,constructor,laps,grid,status,points
1,3,Jody Scheckter,Tyrrell,78,3,Finished,9
2,7,Carlos Reutemann,Brabham,78,2,Finished,6
3,4,Patrick Depailler,Tyrrell,78,5,Finished,4
4,8,Carlos Pace,Brabham,78,1,Finished,3
5,12,Niki Lauda,Ferrari,78,4,Finished,2
6,2,Jochen Mass,McLaren,78,16,Finished,1
7,23,Rolf Stommelen,Embassy Hill,78,14,Finished,0
8,28,Mark Donohue,Penske,77,18,+1 Lap,0
9,16,Tom Pryce,Shadow-Ford,77,19,+1 Lap,0
10,5,Ronnie Peterson,Team Lotus,77,8,+1 Lap,0
11,34,Guy Tunmer,Team Lotus,76,25,+2 Laps,0
12,6,Jacky Ickx,Team Lotus,76,21,+2 Laps,0
13,33,Eddie Keizan,Team Lotus,76,22,+2 Laps,0
14,31,Dave Charlton,McLaren,76,20,+2 Laps,0
15,14,Bob Evans,BRM,76,24,+2 Laps,0
16,11,Clay Regazzoni,Ferrari,71,9,Throttle,0
17,27,Mario Andretti,Parnelli,70,6,Transmission,0
18,21,Jacques Laffite,Williams,69,23,Not classified,0
19,1,Emerson Fittipaldi,McLaren,65,11,Not classified,0
20,32,Ian Scheckter,Tyrrell,55,17,Accident,0
21,24,James Hunt,Hesketh,53,12,Fuel system,0
22,17,Jean-Pierre Jarier,Shadow-Ford,37,13,Overheating,0
23,10,Lella Lombardi,March,23,26,Fuel system,0
24,20,Arturo Merzario,Williams,22,15,Engine,0
25,18,John Watson,Surtees,19,10,Clutch,0
26,9,Vittorio Brambilla,March,16,7,Radiator,0
27,30,Wilson Fittipaldi,Fittipaldi,0,0,Did not qualify,0
28,22,Graham Hill,Lola,0,0,Did not qualify,0
