round,raceName,date,time,circuit,country
1,Australian Grand Prix,2004-03-07,,Albert Park Grand Prix Circuit,Australia
2,Malaysian Grand Prix,2004-03-21,,Sepang International Circuit,Malaysia
3,Bahrain Grand Prix,2004-04-04,,Bahrain International Circuit,Bahrain
4,San Marino Grand Prix,2004-04-25,,Autodromo Enzo e Dino Ferrari,Italy
5,Spanish Grand Prix,2004-05-09,,Circuit de Barcelona-Catalunya,Spain
6,Monaco Grand Prix,2004-05-23,,Circuit de Monaco,Monaco
7,European Grand Prix,2004-05-30,,Nürburgring,Germany
8,Canadian Grand Prix,2004-06-13,,Circuit Gilles Villeneuve,Canada
9,United States Grand Prix,2004-06-20,,Indianapolis Motor Speedway,USA
10,French Grand Prix,2004-07-04,,Circuit de Nevers Magny-Cours,France
11,British Grand Prix,2004-07-11,,Silverstone Circuit,UK
12,German Grand Prix,2004-07-25,,Hockenheimring,Germany
13,Hungarian Grand Prix,2004-08-15,,Hungaroring,Hungary
14,Belgian Grand Prix,2004-08-29,,Circuit de Spa-Francorchamps,Belgium
15,Italian Grand Prix,2004-09-12,,Autodromo Nazionale di Monza,Italy
16,Chinese Grand Prix,2004-09-26,,Shanghai International Circuit,China
17,Japanese Grand Prix,2004-10-10,,Suzuka Circuit,Japan
18,Brazilian Grand Prix,2004-10-24,,Autódromo José Carlos Pace,Brazil
