round,raceName,date,time,circuit,country
1,Bahrain Grand Prix,2023-03-05,15:00:00Z,Bahrain International Circuit,Bahrain
2,Saudi Arabian Grand Prix,2023-03-19,17:00:00Z,Jeddah Corniche Circuit,Saudi Arabia
3,Australian Grand Prix,2023-04-02,05:00:00Z,Albert Park Grand Prix Circuit,Australia
4,Azerbaijan Grand Prix,2023-04-30,11:00:00Z,Baku City Circuit,Azerbaijan
5,Miami Grand Prix,2023-05-07,19:30:00Z,Miami International Autodrome,USA
6,Monaco Grand Prix,2023-05-28,13:00:00Z,Circuit de Monaco,Monaco
7,Spanish Grand Prix,2023-06-04,13:00:00Z,Circuit de Barcelona-Catalunya,Spain
8,Canadian Grand Prix,2023-06-18,18:00:00Z,Circuit Gilles Villeneuve,Canada
9,Austrian Grand Prix,2023-07-02,13:00:00Z,Red Bull Ring,Austria
10,British Grand Prix,2023-07-09,14:00:00Z,Silverstone Circuit,UK
11,Hungarian Grand Prix,2023-07-23,13:00:00Z,Hungaroring,Hungary
12,Belgian Grand Prix,2023-07-30,13:00:00Z,Circuit de Spa-Francorchamps,Belgium
13,Dutch Grand Prix,2023-08-27,13:00:00Z,Circuit Park Zandvoort,Netherlands
14,Italian Grand Prix,2023-09-03,13:00:00Z,Autodromo Nazionale di Monza,Italy
15,Singapore Grand Prix,2023-09-17,12:00:00Z,Marina Bay Street Circuit,Singapore
16,Japanese Grand Prix,2023-09-24,05:00:00Z,Suzuka Circuit,Japan
17,Qatar Grand Prix,2023-10-08,17:00:00Z,Losail International Circuit,Qatar
18,United States Grand Prix,2023-10-22,19:00:00Z,Circuit of the Americas,USA
19,Mexico City Grand Prix,2023-10-29,20:00:00Z,Autódromo Hermanos Rodríguez,Mexico
20,São Paulo Grand Prix,2023-11-05,17:00:00Z,Autódromo José Carlos Pace,Brazil
21,Las Vegas Grand Prix,2023-11-19,06:00:00Z,Las Vegas Strip Street Circuit,United States
22,Abu Dhabi Grand Prix,2023-11-26,13:00:00Z,Yas Marina Circuit,UAE
