round,raceName,date,time,circuit,country
1,Brazilian Grand Prix,1988-04-03,,Autódromo Internacional Nelson Piquet,Brazil
2,San Marino Grand Prix,1988-05-01,,Autodromo Enzo e Dino Ferrari,Italy
3,Monaco Grand Prix,1988-05-15,,Circuit de Monaco,Monaco
4,Mexican Grand Prix,1988-05-29,,Autódromo Hermanos Rodríguez,Mexico
5,Canadian Grand Prix,1988-06-12,,Circuit Gilles Villeneuve,Canada
6,Detroit Grand Prix,1988-06-19,,Detroit Street Circuit,USA
7,French Grand Prix,1988-07-03,,Circuit Paul Ricard,France
8,British Grand Prix,1988-07-10,,Silverstone Circuit,UK
9,German Grand Prix,1988-07-24,,Hockenheimring,Germany
10,Hungarian Grand Prix,1988-08-07,,Hungaroring,Hungary
11,Belgian Grand Prix,1988-08-28,,Circuit de Spa-Francorchamps,Belgium
12,Italian Grand Prix,1988-09-11,,Autodromo Nazionale di Monza,Italy
13,Portuguese Grand Prix,1988-09-25,,Autódromo do Estoril,Portugal
14,Spanish Grand Prix,1988-10-02,,Circuito de Jerez,Spain
15,Japanese Grand Prix,1988-10-30,,Suzuka Circuit,Japan
16,Australian Grand Prix,1988-11-13,,Adelaide Street Circuit,Australia
