Position,Driver,Constructor,Points,Wins
1,Clay Regazzoni,Ferrari,10,0
2,Emerson Fittipaldi,McLaren,9,1
3,Denny Hulme,McLaren,9,1
4,Niki Lauda,Ferrari,6,0
5,Mike Hailwood,McLaren,5,0
6,Jacky Ickx,Team Lotus,4,0
7,Carlos Pace,Surtees,3,0
8,Jean-Pierre Beltoise,BRM,2,0
9,Patrick Depailler,Tyrrell,1,0
10,Ronnie Peterson,Team Lotus,1,0
11,Carlos Reutemann,Brabham,0,0
12,Howden Ganley,March,0,0
13,Henri Pescarolo,BRM,0,0
14,James Hunt,March,0,0
15,Graham Hill,Lola,0,0
16,Guy Edwards,Lola,0,0
17,John Watson,Brabham,0,0
18,Jody Scheckter,Tyrrell,0,0
19,Richard Robarts,Brabham,0,0
20,François Migault,BRM,0,0
21,Jochen Mass,Surtees,0,0
22,Hans-Joachim Stuck,March,0,0
23,Jean-Pierre Jarier,Shadow,0,0
24,Arturo Merzario,Iso Marlboro,0,0
25,Peter Revson,Shadow,0,0
