position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:11.511,1:11.238,1:10.736
2,6,Nico Rosberg,Mercedes,1:11.815,1:11.373,1:10.838
3,7,Kimi Räikkönen,Ferrari,1:12.100,1:12.301,1:11.404
4,33,Max Verstappen,Red Bull,1:11.957,1:11.834,1:11.485
5,5,Sebastian Vettel,Ferrari,1:12.159,1:12.010,1:11.495
6,3,Daniel Ricciardo,Red Bull,1:12.409,1:12.047,1:11.540
7,8,Romain Grosjean,Haas F1 Team,1:12.893,1:12.343,1:11.937
8,27,Nico Hülkenberg,Force India,1:12.428,1:12.360,1:12.104
9,11,Sergio Pérez,Force India,1:12.684,1:12.331,1:12.165
10,14,Fernando Alonso,McLaren,1:12.700,1:12.312,1:12.266
11,77,Valtteri Bottas,Williams,1:12.680,1:12.420,
12,21,Esteban Gutiérrez,Haas F1 Team,1:13.052,1:12.431,
13,19,Felipe Massa,Williams,1:12.432,1:12.521,
14,26,Daniil Kvyat,Toro Rosso,1:13.071,1:12.726,
15,55,Carlos Sainz,Toro Rosso,1:12.950,1:12.920,
16,30,Jolyon Palmer,Renault,1:13.259,1:13.258,
17,22,Jenson Button,McLaren,1:13.276,,
18,20,Kevin Magnussen,Renault,1:13.410,,
19,94,Pascal Wehrlein,Manor Marussia,1:13.427,,
20,31,Esteban Ocon,Manor Marussia,1:13.432,,
21,9,Marcus Ericsson,Sauber,1:13.623,,
22,12,Felipe Nasr,Sauber,1:13.681,,
