position,number,driver,constructor,Q1,Q2,Q3
1,1,Michael Schumacher,Ferrari,1:24.408,,
2,2,Rubens Barrichello,Ferrari,1:24.482,,
3,3,Juan Pablo Montoya,Williams,1:24.998,,
4,9,Jenson Button,BAR,1:24.998,,
5,8,Fernando Alonso,Renault,1:25.699,,
6,14,Mark Webber,Jaguar,1:25.805,,
7,10,Takuma Sato,BAR,1:25.851,,
8,4,Ralf Schumacher,Williams,1:25.925,,
9,7,Jarno Trulli,Renault,1:26.290,,
10,6,Kimi Räikkönen,McLaren,1:26.297,,
11,12,Felipe Massa,Sauber,1:27.065,,
12,5,David Coulthard,McLaren,1:27.294,,
13,16,Cristiano da Matta,Toyota,1:27.823,,
14,11,Giancarlo Fisichella,Sauber,1:27.845,,
15,18,Nick Heidfeld,Jordan,1:28.178,,
16,19,Giorgio Pantano,Jordan,1:30.140,,
17,21,Zsolt Baumgartner,Minardi,1:30.681,,
18,17,Olivier Panis,Toyota,,,
19,15,Christian Klien,Jaguar,,,
20,20,Gianmaria Bruni,Minardi,,,
