position,number,driver,constructor,Q1,Q2,Q3
1,4,Lando Norris,McLaren,1:47.238,1:45.827,1:41.993
2,55,Carlos Sainz,Ferrari,1:47.924,1:46.521,1:42.510
3,63,George Russell,Williams,1:48.303,1:46.435,1:42.983
4,44,Lewis Hamilton,Mercedes,1:45.992,1:45.129,1:44.050
5,3,Daniel Ricciardo,McLaren,1:48.345,1:46.361,1:44.156
6,14,Fernando Alonso,Alpine F1 Team,1:47.877,1:45.514,1:44.204
7,77,Valtteri Bottas,Mercedes,1:46.396,1:45.306,1:44.710
8,18,Lance Stroll,Aston Martin,1:48.322,1:46.360,1:44.956
9,11,Sergio Pérez,Red Bull,1:46.455,1:45.834,1:45.337
10,31,Esteban Ocon,Alpine F1 Team,1:48.099,1:46.070,1:45.865
11,5,Sebastian Vettel,Aston Martin,1:47.205,1:46.573,
12,10,Pierre Gasly,AlphaTauri,1:47.828,1:46.641,
13,22,Yuki Tsunoda,AlphaTauri,1:48.854,1:46.751,
14,6,Nicholas Latifi,Williams,1:48.252,,
15,16,Charles Leclerc,Ferrari,1:48.470,,
16,7,Kimi Räikkönen,Alfa Romeo,1:49.586,,
17,47,Mick Schumacher,Haas F1 Team,1:49.830,,
18,99,Antonio Giovinazzi,Alfa Romeo,1:51.023,,
19,9,Nikita Mazepin,Haas F1 Team,1:53.764,,
20,33,Max Verstappen,Red Bull,,,
