position,number,driver,constructor,laps,grid,status,points
1,3,Jochen Rindt,Team Lotus,80,8,Finished,9
2,5,Jack Brabham,Brabham,80,4,Finished,6
3,9,Henri Pescarolo,Matra,80,7,Finished,4
4,11,Denny Hulme,McLaren-Ford,80,3,Finished,3
5,1,Graham Hill,Team Lotus,79,16,+1 Lap,2
6,17,Pedro Rodríguez,BRM,78,15,+2 Laps,1
7,23,Ronnie Peterson,March,78,12,+2 Laps,0
8,19,Jo Siffert,March,76,11,Out of fuel,0
9,28,Chris Amon,March,60,2,Suspension,0
10,24,Piers Courage,De Tomaso,58,9,Not classified,0
11,21,Jackie Stewart,March,57,1,Engine,0
12,16,Jackie Oliver,BRM,42,14,Engine,0
13,8,Jean-Pierre Beltoise,Matra,21,6,Differential,0
14,12,Bruce McLaren,McLaren-Ford,19,10,Suspension,0
15,14,John Surtees,McLaren-Ford,14,13,Oil pressure,0
16,26,Jacky Ickx,Ferrari,11,5,Halfshaft,0
17,10,Andrea de Adamich,McLaren-Alfa Romeo,0,0,Did not qualify,0
18,6,Rolf Stommelen,Brabham,0,0,Did not qualify,0
19,15,George Eaton,BRM,0,0,Did not qualify,0
20,2,John Miles,Team Lotus,0,0,Did not qualify,0
21,20,Johnny Servoz-Gavin,March,0,0,Did not qualify,0
