Position,Driver,Constructor,Points,Wins
1,Kimi Räikkönen,Ferrari,10,1
2,Fernando Alonso,McLaren,8,0
3,Lewis Hamilton,McLaren,6,0
4,Nick Heidfeld,BMW Sauber,5,0
5,Giancarlo Fisichella,Renault,4,0
6,Felipe Massa,Ferrari,3,0
7,Nico Rosberg,Williams,2,0
8,Ralf Schumacher,Toyota,1,0
9,Jarno Trulli,Toyota,0,0
10,Heikki Kovalainen,Renault,0,0
11,Rubens Barrichello,Honda,0,0
12,Takuma Sato,Super Aguri,0,0
13,Mark Webber,Red Bull,0,0
14,Vitantonio Liuzzi,Toro Rosso,0,0
15,Jenson Button,Honda,0,0
16,Anthony Davidson,Super Aguri,0,0
17,Adrian Sutil,Spyker,0,0
