position,number,driver,constructor,Q1,Q2,Q3
1,6,Giancarlo Fisichella,Renault,1:33.171,1:28.289,
2,16,Jarno Trulli,Toyota,1:35.270,1:29.159,
3,7,Mark Webber,Williams,1:36.717,1:28.279,
4,11,Jacques Villeneuve,Sauber,1:36.984,1:29.862,
5,14,David Coulthard,Red Bull,1:38.320,1:28.892,
6,15,Christian Klien,Red Bull,1:37.486,1:29.991,
7,8,Nick Heidfeld,Williams,1:39.717,1:29.413,
8,3,Jenson Button,BAR,1:41.512,1:30.616,
9,10,Juan Pablo Montoya,McLaren,1:45.325,1:29.320,
10,9,Kimi Räikkönen,McLaren,1:44.997,1:30.561,
11,2,Rubens Barrichello,Ferrari,1:45.481,1:31.341,
12,19,Narain Karthikeyan,Jordan,1:44.357,1:32.735,
13,5,Fernando Alonso,Renault,1:47.708,1:29.758,
14,18,Tiago Monteiro,Jordan,1:46.846,1:33.483,
15,17,Ralf Schumacher,Toyota,1:51.495,1:31.222,
16,20,Patrick Friesacher,Minardi,1:50.864,1:37.499,
17,21,Christijan Albers,Minardi,1:49.230,,
18,1,Michael Schumacher,Ferrari,1:57.931,,
19,4,Takuma Sato,BAR,,,
20,12,Felipe Massa,Sauber,,,
