position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:38.759,1:38.338,1:38.513
2,6,Nico Rosberg,Mercedes,1:39.076,1:38.606,1:38.713
3,77,Valtteri Bottas,Williams,1:39.125,1:38.971,1:38.920
4,22,Jenson Button,McLaren,1:39.560,1:39.381,1:39.121
5,26,Daniil Kvyat,Toro Rosso,1:40.074,1:39.296,1:39.277
6,20,Kevin Magnussen,McLaren,1:39.735,1:39.022,1:39.629
7,3,Daniel Ricciardo,Red Bull,1:40.519,1:39.666,1:39.635
8,14,Fernando Alonso,Ferrari,1:40.255,1:39.786,1:39.709
9,7,Kimi Räikkönen,Ferrari,1:40.098,1:39.838,1:39.771
10,25,Jean-Éric Vergne,Toro Rosso,1:40.354,1:39.929,1:40.020
11,1,Sebastian Vettel,Red Bull,1:40.382,1:40.052,
12,27,Nico Hülkenberg,Force India,1:40.273,1:40.058,
13,11,Sergio Pérez,Force India,1:40.723,1:40.163,
14,21,Esteban Gutiérrez,Sauber,1:41.159,1:40.536,
15,99,Adrian Sutil,Sauber,1:40.766,1:40.984,
16,8,Romain Grosjean,Lotus F1,1:42.526,1:41.397,
17,9,Marcus Ericsson,Caterham,1:42.648,,
18,19,Felipe Massa,Williams,1:43.064,,
19,10,Kamui Kobayashi,Caterham,1:43.166,,
20,13,Pastor Maldonado,Lotus F1,1:43.205,,
21,4,Max Chilton,Marussia,1:43.649,,
