Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,291,9
2,Nico Rosberg,Mercedes,274,4
3,Daniel Ricciardo,Red Bull,199,3
4,Valtteri Bottas,Williams,145,0
5,Sebastian Vettel,Red Bull,143,0
6,Fernando Alonso,Ferrari,141,0
7,Jenson Button,McLaren,94,0
8,Nico Hülkenberg,Force India,76,0
9,Felipe Massa,Williams,71,0
10,Kevin Magnussen,McLaren,49,0
11,Sergio Pérez,Force India,47,0
12,Kimi Räikkönen,Ferrari,47,0
13,Jean-Éric Vergne,Toro Rosso,21,0
14,Romain Grosjean,Lotus F1,8,0
15,Daniil Kvyat,Toro Rosso,8,0
16,Jules Bianchi,Marussia,2,0
17,Adrian Sutil,Sauber,0,0
18,Marcus Ericsson,Caterham,0,0
19,Pastor Maldonado,Lotus F1,0,0
20,Esteban Gutiérrez,Sauber,0,0
21,Max Chilton,Marussia,0,0
22,Kamui Kobayashi,Caterham,0,0
23,André Lotterer,Caterham,0,0
