position,number,driver,constructor,Q1,Q2,Q3
1,22,Lewis Hamilton,McLaren,1:46.887,1:46.088,1:47.338
2,2,Felipe Massa,Ferrari,1:46.873,1:46.391,1:47.678
3,23,Heikki Kovalainen,McLaren,1:46.812,1:46.037,1:47.815
4,1,Kimi Räikkönen,Ferrari,1:46.960,1:46.298,1:47.992
5,3,Nick Heidfeld,BMW Sauber,1:47.419,1:46.311,1:48.315
6,5,Fernando Alonso,Renault,1:47.154,1:46.491,1:48.504
7,10,Mark Webber,Red Bull,1:47.270,1:46.814,1:48.736
8,4,Robert Kubica,BMW Sauber,1:47.093,1:46.494,1:48.763
9,14,Sébastien Bourdais,Toro Rosso,1:46.777,1:46.544,1:48.951
10,15,Sebastian Vettel,Toro Rosso,1:47.152,1:46.804,1:50.319
11,11,Jarno Trulli,Toyota,1:47.400,1:46.949,
12,6,Nelson Piquet Jr.,Renault,1:47.052,1:46.965,
13,12,Timo Glock,Toyota,1:47.359,1:46.995,
14,9,David Coulthard,Red Bull,1:47.132,1:47.018,
15,7,Nico Rosberg,Williams,1:47.503,1:47.429,
16,17,Rubens Barrichello,Honda,1:48.153,,
17,16,Jenson Button,Honda,1:48.211,,
18,20,Adrian Sutil,Force India,1:48.226,,
19,8,Kazuki Nakajima,Williams,1:48.268,,
20,21,Giancarlo Fisichella,Force India,1:48.447,,
