Position,Driver,Constructor,Points,Wins
1,Nigel Mansell,Williams,40,4
2,Riccardo Patrese,Williams,18,0
3,Michael Schumacher,Benetton,17,0
4,Gerhard Berger,McLaren,8,0
5,Jean Alesi,Ferrari,7,0
6,Ayrton Senna,McLaren,4,0
7,Michele Alboreto,Footwork,3,0
8,Ivan Capelli,Ferrari,2,0
9,Andrea de Cesaris,Tyrrell,2,0
10,Johnny Herbert,Team Lotus,1,0
11,Mika Häkkinen,Team Lotus,1,0
12,Pierluigi Martini,Dallara,1,0
13,Aguri Suzuki,Footwork,0,0
14,Érik Comas,Ligier,0,0
15,Gianni Morbidelli,Minardi,0,0
16,Jyrki Järvilehto,Dallara,0,0
17,Karl Wendlinger,March,0,0
18,Ukyo Katayama,Larrousse,0,0
19,Thierry Boutsen,Ligier,0,0
20,Christian Fittipaldi,Minardi,0,0
21,Bertrand Gachot,Larrousse,0,0
22,Maurício Gugelmin,Jordan,0,0
23,Paul Belmondo,March,0,0
24,Eric van de Poele,Brabham,0,0
