round,raceName,date,time,circuit,country
1,South African Grand Prix,1993-03-14,,Kyalami,South Africa
2,Brazilian Grand Prix,1993-03-28,,Autódromo José Carlos Pace,Brazil
3,European Grand Prix,1993-04-11,,Donington Park,UK
4,San Marino Grand Prix,1993-04-25,,Autodromo Enzo e Dino Ferrari,Italy
5,Spanish Grand Prix,1993-05-09,,Circuit de Barcelona-Catalunya,Spain
6,Monaco Grand Prix,1993-05-23,,Circuit de Monaco,Monaco
7,Canadian Grand Prix,1993-06-13,,Circuit Gilles Villeneuve,Canada
8,French Grand Prix,1993-07-04,,Circuit de Nevers Magny-Cours,France
9,British Grand Prix,1993-07-11,,Silverstone Circuit,UK
10,German Grand Prix,1993-07-25,,Hockenheimring,Germany
11,Hungarian Grand Prix,1993-08-15,,Hungaroring,Hungary
12,Belgian Grand Prix,1993-08-29,,Circuit de Spa-Francorchamps,Belgium
13,Italian Grand Prix,1993-09-12,,Autodromo Nazionale di Monza,Italy
14,Portuguese Grand Prix,1993-09-26,,Autódromo do Estoril,Portugal
15,Japanese Grand Prix,1993-10-24,,Suzuka Circuit,Japan
16,Australian Grand Prix,1993-11-07,,Adelaide Street Circuit,Australia
