Position,Driver,Constructor,Points,Wins
1,Jenson Button,Brawn,10,1
2,Rubens Barrichello,Brawn,8,0
3,Jarno Trulli,Toyota,6,0
4,Timo Glock,Toyota,5,0
5,Fernando Alonso,Renault,4,0
6,Nico Rosberg,Williams,3,0
7,Sébastien Buemi,Toro Rosso,2,0
8,Sébastien Bourdais,Toro Rosso,1,0
9,Adrian Sutil,Force India,0,0
10,Nick Heidfeld,BMW Sauber,0,0
11,Giancarlo Fisichella,Force India,0,0
12,Mark Webber,Red Bull,0,0
13,Sebastian Vettel,Red Bull,0,0
14,Robert Kubica,BMW Sauber,0,0
15,Kimi Räikkönen,Ferrari,0,0
