position,number,driver,constructor,Q1,Q2,Q3
1,22,Jenson Button,Brawn,1:25.211,1:24.855,1:26.202
2,23,Rubens Barrichello,Brawn,1:25.006,1:24.783,1:26.505
3,15,Sebastian Vettel,Red Bull,1:25.938,1:25.121,1:26.830
4,5,Robert Kubica,BMW Sauber,1:25.922,1:25.152,1:26.914
5,16,Nico Rosberg,Williams,1:25.846,1:25.123,1:26.973
6,10,Timo Glock,Toyota,1:25.499,1:25.281,1:26.975
7,3,Felipe Massa,Ferrari,1:25.844,1:25.319,1:27.033
8,9,Jarno Trulli,Toyota,1:26.194,1:25.265,1:27.127
9,4,Kimi Räikkönen,Ferrari,1:25.899,1:25.380,1:27.163
10,14,Mark Webber,Red Bull,1:25.427,1:25.241,1:27.246
11,6,Nick Heidfeld,BMW Sauber,1:25.827,1:25.504,
12,7,Fernando Alonso,Renault,1:26.026,1:25.605,
13,17,Kazuki Nakajima,Williams,1:26.074,1:25.607,
14,2,Heikki Kovalainen,McLaren,1:26.184,1:25.726,
15,1,Lewis Hamilton,McLaren,1:26.454,,
16,12,Sébastien Buemi,Toro Rosso,1:26.503,,
17,8,Nelson Piquet Jr.,Renault,1:26.598,,
18,21,Giancarlo Fisichella,Force India,1:26.677,,
19,20,Adrian Sutil,Force India,1:26.742,,
20,11,Sébastien Bourdais,Toro Rosso,1:26.964,,
