position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:39.116,1:37.305,1:36.975
2,2,Mark Webber,Red Bull,1:39.956,1:38.058,1:37.163
3,3,Lewis Hamilton,McLaren,1:39.244,1:37.727,1:37.380
4,5,Fernando Alonso,Ferrari,1:39.725,1:37.930,1:37.454
5,6,Felipe Massa,Ferrari,1:38.413,1:38.566,1:37.535
6,4,Jenson Button,McLaren,1:39.453,1:37.749,1:37.645
7,8,Nico Rosberg,Mercedes,1:39.266,1:38.373,1:38.231
8,7,Michael Schumacher,Mercedes,1:39.198,1:38.365,1:38.240
9,9,Nick Heidfeld,Renault,1:39.877,1:38.781,
10,14,Adrian Sutil,Force India,1:39.329,1:39.034,
11,10,Vitaly Petrov,Renault,1:39.690,1:39.068,
12,15,Paul di Resta,Force India,1:39.852,1:39.422,
13,11,Rubens Barrichello,Williams,1:39.602,1:39.489,
14,16,Kamui Kobayashi,Sauber,1:40.131,1:39.525,
15,12,Pastor Maldonado,Williams,1:39.690,1:39.645,
16,17,Sergio Pérez,Sauber,1:39.494,1:39.657,
17,18,Sébastien Buemi,Toro Rosso,1:39.679,1:39.711,
18,19,Jaime Alguersuari,Toro Rosso,1:40.232,,
19,20,Heikki Kovalainen,Lotus,1:41.664,,
20,21,Jarno Trulli,Lotus,1:42.234,,
21,24,Timo Glock,Virgin,1:42.553,,
22,23,Vitantonio Liuzzi,HRT,1:43.584,,
23,25,Jérôme d'Ambrosio,Virgin,1:43.735,,
24,22,Narain Karthikeyan,HRT,1:44.363,,
