Position,Driver,Constructor,Points,Wins
1,Nico Rosberg,Mercedes,25,1
2,Kevin Magnussen,McLaren,18,0
3,Jenson Button,McLaren,15,0
4,Fernando Alonso,Ferrari,12,0
5,Valtteri Bottas,Williams,10,0
6,Nico Hülkenberg,Force India,8,0
7,Kimi Räikkönen,Ferrari,6,0
8,Jean-Éric Vergne,Toro Rosso,4,0
9,Daniil Kvyat,Toro Rosso,2,0
10,Sergio Pérez,Force India,1,0
11,Adrian Sutil,Sauber,0,0
12,Esteban Gutiérrez,Sauber,0,0
13,Max Chilton,Marussia,0,0
14,Jules Bianchi,Marussia,0,0
15,Romain Grosjean,Lotus F1,0,0
16,Pastor Maldonado,Lotus F1,0,0
17,Marcus Ericsson,Caterham,0,0
18,Sebastian Vettel,Red Bull,0,0
19,Lewis Hamilton,Mercedes,0,0
20,Felipe Massa,Williams,0,0
21,Kamui Kobayashi,Caterham,0,0
22,Daniel Ricciardo,Red Bull,0,0
