Position,Driver,Constructor,Points,Wins
1,Jim Clark,Lotus-Ford,9,1
2,Graham Hill,Lotus-Ford,6,0
3,Jochen Rindt,Brabham-Repco,4,0
4,Chris Amon,Ferrari,3,0
5,Denny Hulme,McLaren-BRM,2,0
6,Jean-Pierre Beltoise,Matra-Ford,1,0
7,Jo Siffert,Cooper-Maserati,0,0
8,John Surtees,Honda,0,0
9,John Love,Brabham-Repco,0,0
10,Jackie Pretorius,Brabham-Climax,0,0
11,Dan Gurney,Eagle-Weslake,0,0
12,Jacky Ickx,Ferrari,0,0
13,Jo Bonnier,Cooper-Maserati,0,0
14,Jackie Stewart,Matra-Ford,0,0
15,Sam Tingle,LDS,0,0
16,Basil van Rooyen,Cooper-Climax,0,0
17,Pedro Rodríguez,BRM,0,0
18,Jack Brabham,Brabham-Repco,0,0
19,Andrea de Adamich,Ferrari,0,0
20,Mike Spence,BRM,0,0
21,Brian Redman,Cooper-Maserati,0,0
22,Dave Charlton,Brabham-Repco,0,0
23,Ludovico Scarfiotti,Cooper-BRM,0,0
