Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Renault,16,1
2,Giancarlo Fisichella,Renault,10,1
3,Jarno Trulli,Toyota,8,0
4,Rubens Barrichello,Ferrari,8,0
5,David Coulthard,Red Bull,8,0
6,Juan Pablo Montoya,McLaren,8,0
7,Nick Heidfeld,Williams,6,0
8,Ralf Schumacher,Toyota,4,0
9,Mark Webber,Williams,4,0
10,Christian Klien,Red Bull,3,0
11,Michael Schumacher,Ferrari,2,0
12,Kimi Räikkönen,McLaren,1,0
13,Felipe Massa,Sauber,0,0
14,Narain Karthikeyan,Jordan,0,0
15,Tiago Monteiro,Jordan,0,0
16,Jacques Villeneuve,Sauber,0,0
17,Christijan Albers,Minardi,0,0
18,Patrick Friesacher,Minardi,0,0
19,Jenson Button,BAR,0,0
20,Takuma Sato,BAR,0,0
21,Anthony Davidson,BAR,0,0
