position,number,driver,constructor,Q1,Q2,Q3
1,15,Sebastian Vettel,Red Bull,1:27.330,1:27.016,1:28.316
2,22,Jenson Button,Brawn,1:27.355,1:27.230,1:28.421
3,23,Rubens Barrichello,Brawn,1:27.371,1:27.418,1:28.579
4,14,Mark Webber,Red Bull,1:27.466,1:27.416,1:28.613
5,9,Jarno Trulli,Toyota,1:27.529,1:27.195,1:28.666
6,4,Kimi Räikkönen,Ferrari,1:27.556,1:27.387,1:28.815
7,3,Felipe Massa,Ferrari,1:27.508,1:27.349,1:28.858
8,7,Fernando Alonso,Renault,1:27.988,1:27.473,1:29.075
9,16,Nico Rosberg,Williams,1:27.517,1:27.418,1:29.191
10,5,Robert Kubica,BMW Sauber,1:27.788,1:27.455,1:29.357
11,6,Nick Heidfeld,BMW Sauber,1:27.795,1:27.521,
12,17,Kazuki Nakajima,Williams,1:27.691,1:27.629,
13,10,Timo Glock,Toyota,1:28.160,1:27.795,
14,2,Heikki Kovalainen,McLaren,1:28.199,1:28.207,
15,20,Adrian Sutil,Force India,1:28.278,1:28.391,
16,1,Lewis Hamilton,McLaren,1:28.318,,
17,8,Nelson Piquet Jr.,Renault,1:28.582,,
18,12,Sébastien Buemi,Toro Rosso,1:28.708,,
19,21,Giancarlo Fisichella,Force India,1:28.717,,
20,11,Sébastien Bourdais,Toro Rosso,1:28.918,,
