Position,Driver,Constructor,Points,Wins
1,Jackie Stewart,Matra-Ford,9,1
2,Graham Hill,Lotus-Ford,6,0
3,Denny Hulme,McLaren-Ford,4,0
4,Jo Siffert,Lotus-Ford,3,0
5,Bruce McLaren,McLaren-Ford,2,0
6,Jean-Pierre Beltoise,Matra-Ford,1,0
7,Jackie Oliver,BRM,0,0
8,Sam Tingle,Brabham-Repco,0,0
9,Peter de Klerk,Brabham-Repco,0,0
10,Jochen Rindt,Lotus-Ford,0,0
11,John Surtees,BRM,0,0
12,Pedro Rodríguez,BRM,0,0
13,Chris Amon,Ferrari,0,0
14,Jack Brabham,Brabham-Ford,0,0
15,Mario Andretti,Lotus-Ford,0,0
16,John Love,Lotus-Ford,0,0
17,Jacky Ickx,Brabham-Ford,0,0
18,Basil van Rooyen,McLaren-Ford,0,0
