Position,Driver,Constructor,Points,Wins
1,Juan Fangio,Ferrari,10.5,1
2,Jean Behra,Maserati,10,0
3,Stirling Moss,Maserati,8,1
4,Pat Flaherty,Watson,8,1
5,Sam Hanks,Kurtis Kraft,6,0
6,Luigi Musso,Ferrari,4,1
7,Mike Hawthorn,Maserati,4,0
8,Don Freeland,Phillips,4,0
9,Peter Collins,Ferrari,3,0
10,Johnnie Parsons,Kurtis Kraft,3,0
11,Hernando da Silva Ramos,Gordini,2,0
12,Olivier Gendebien,Ferrari,2,0
13,Dick Rathmann,Kurtis Kraft,2,0
14,Eugenio Castellotti,Ferrari,1.5,0
15,Gerino Gerini,Maserati,1.5,0
16,Chico Landi,Maserati,1.5,0
17,Paul Russo,Kurtis Kraft,1,0
18,Élie Bayol,Gordini,0,0
19,Óscar González,Maserati,0,0
20,André Pilette,Gordini,0,0
21,Bob Sweikert,Kuzma,0,0
22,Alberto Uria,Maserati,0,0
23,Cesare Perdisa,Maserati,0,0
24,Bob Veith,Kurtis Kraft,0,0
25,Horace Gould,Maserati,0,0
26,Rodger Ward,Kurtis Kraft,0,0
27,Jimmy Reece,Lesovsky,0,0
28,Cliff Griffith,Stevens,0,0
29,Gene Hartley,Kuzma,0,0
30,Fred Agabashian,Kurtis Kraft,0,0
