position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:25.381,1:26.420,1:26.479
2,9,Nico Rosberg,Mercedes,1:25.556,1:26.626,1:27.102
3,3,Fernando Alonso,Ferrari,1:26.656,1:26.590,1:27.539
4,2,Mark Webber,Red Bull,1:26.689,1:26.963,1:27.572
5,10,Lewis Hamilton,Mercedes,1:25.342,1:26.698,1:27.677
6,8,Romain Grosjean,Lotus F1,1:26.453,1:26.161,1:27.737
7,19,Daniel Ricciardo,Toro Rosso,1:27.209,1:27.078,1:28.052
8,18,Jean-Éric Vergne,Toro Rosso,1:27.124,1:27.363,1:28.081
9,4,Felipe Massa,Ferrari,1:26.817,1:27.049,1:28.109
10,11,Nico Hülkenberg,Sauber,1:26.071,1:27.441,1:29.582
11,7,Heikki Kovalainen,Lotus F1,1:26.266,1:27.456,
12,14,Paul di Resta,Force India,1:26.275,1:27.798,
13,17,Valtteri Bottas,Williams,1:26.790,1:27.954,
14,6,Sergio Pérez,McLaren,1:26.741,1:28.269,
15,5,Jenson Button,McLaren,1:26.398,1:28.308,
16,15,Adrian Sutil,Force India,1:26.874,1:28.586,
17,16,Pastor Maldonado,Williams,1:27.367,,
18,12,Esteban Gutiérrez,Sauber,1:27.455,,
19,20,Charles Pic,Caterham,1:27.843,,
20,21,Giedo van der Garde,Caterham,1:28.320,,
21,22,Jules Bianchi,Marussia,1:28.366,,
22,23,Max Chilton,Marussia,1:28.950,,
