Position,Driver,Constructor,Points,Wins
1,Graham Hill,BRM,9,1
2,Trevor Taylor,Lotus-Climax,6,0
3,Phil Hill,Ferrari,4,0
4,Giancarlo Baghetti,Ferrari,3,0
5,Tony Maggs,Cooper-Climax,2,0
6,Carel Godin de Beaufort,Porsche,1,0
7,Jo Bonnier,Porsche,0,0
8,Jackie Lewis,Cooper-Climax,0,0
9,Jim Clark,Lotus-Climax,0,0
10,Ricardo Rodríguez,Ferrari,0,0
11,Richie Ginther,BRM,0,0
12,Innes Ireland,Lotus-Climax,0,0
13,Masten Gregory,Lotus-Climax,0,0
14,Wolfgang Seidel,Emeryson,0,0
15,Dan Gurney,Porsche,0,0
16,Bruce McLaren,Cooper-Climax,0,0
17,Roy Salvadori,Lola,0,0
18,John Surtees,Lola,0,0
19,Jack Brabham,Lotus-Climax,0,0
20,Ben Pon,Porsche,0,0
21,Rob Slotemaker,Porsche,0,0
22,Maurice Trintignant,Lotus-Climax,0,0
