position,number,driver,constructor,laps,grid,status,points
1,33,Max Verstappen,Red Bull,58,1,Finished,26
2,44,Lewis Hamilton,Mercedes,58,2,Finished,18
3,55,Carlos Sainz,Ferrari,58,5,Finished,15
4,22,Yuki Tsunoda,AlphaTauri,58,8,Finished,12
5,10,Pierre Gasly,AlphaTauri,58,12,Finished,10
6,77,Valtteri Bottas,Mercedes,58,6,Finished,8
7,4,Lando Norris,McLaren,58,3,Finished,6
8,14,Fernando Alonso,Alpine F1 Team,58,11,Finished,4
9,31,Esteban Ocon,Alpine F1 Team,58,9,Finished,2
10,16,Charles Leclerc,Ferrari,58,7,Finished,1
11,5,Sebastian Vettel,Aston Martin,58,15,Finished,0
12,3,Daniel Ricciardo,McLaren,57,10,+1 Lap,0
13,18,Lance Stroll,Aston Martin,57,13,+1 Lap,0
14,47,Mick Schumacher,Haas F1 Team,57,19,+1 Lap,0
15,11,Sergio Pérez,Red Bull,55,4,Engine,0
16,6,Nicholas Latifi,Williams,50,16,Accident,0
17,99,Antonio Giovinazzi,Alfa Romeo,33,14,Gearbox,0
18,63,George Russell,Williams,26,17,Gearbox,0
19,7,Kimi Räikkönen,Alfa Romeo,25,18,Brakes,0
20,9,Nikita Mazepin,Haas F1 Team,0,20,Illness,0
