Position,Driver,Constructor,Points,Wins
1,Alberto Ascari,Ferrari,9,1
2,Luigi Villoresi,Ferrari,6,0
3,José Froilán González,Maserati,4,0
4,Mike Hawthorn,Ferrari,3,0
5,Oscar Gálvez,Maserati,2,0
6,Jean Behra,Gordini,0,0
7,Harry Schell,Gordini,0,0
8,Maurice Trintignant,Gordini,0,0
9,John Barber,Cooper,0,0
10,Alan Brown,Cooper,0,0
11,Robert Manzon,Gordini,0,0
12,Juan Fangio,Maserati,0,0
13,Felice Bonetto,Maserati,0,0
14,Nino Farina,Ferrari,0,0
15,Carlos Menditeguy,Gordini,0,0
16,Pablo Birger,Simca,0,0
17,Adolfo Cruz,Cooper,0,0
